claim_id,claim,specification_location,easycrypt_location,jasmin_location,status,evidence,blocking_note
SPEC-BASELINE,Selected specification artifact,HAETAE_v260204.pdf,TBD,N/A,PINNED,manifests/sources.sha256,Confirm this local revision is the intended authoritative specification before final publication
KEYGEN-M2,Mode 2 key generation refinement,Algorithm key generation TBD,HAETAE_Scheme.ec:25-35;easycrypt/refinement/TargetKeygenM23ParentComposition.ec;easycrypt/refinement/TargetKeygenM23FinalizeComposition.ec;easycrypt/refinement/TargetKeygenM23FinalizeSemanticComposition.ec;easycrypt/refinement/TargetKeygenM23Singular.ec;easycrypt/refinement/TargetKeygenM23FullFirstAttempt.ec,keypair.jazz:1023-1075;keypair.jazz:1123-1215;keypair.jazz:1305;keypair.jazz:1359,PARTIAL,docs/14-target-keygen-m23-matrix.md,The checked observers cover exact seed expansion sampled matrix and secret contracts actual fixed-mode M23 arithmetic actual canonical HAETAE pointwise finalization and an exact machine-word evaluator plus totality for the fixed singular and FFT call; the actual fixed-mode _keypair_full_m23 has packed-output equivalence to a result-carried peeled-first-attempt mirror whose score is that evaluator and whose guard is the exact unsigned bound while first acceptance residual-loop termination analytic real or spectral meaning packing semantics pointer safety public API distributions the NTT-to-security-model multiplication bridge and security composition remain open
KEYGEN-M3,Mode 3 key generation refinement,Algorithm key generation TBD,HAETAE_Scheme.ec:25-35,keypair.jazz:1323;keypair.jazz:1382,NOT_STARTED,,Structural EasyCrypt key generation is not yet target-Jasmin refinement
KEYGEN-M5,Mode 5 key generation refinement,Algorithm key generation TBD,HAETAE_Scheme.ec:25-35,keypair.jazz:1341;keypair.jazz:1405,NOT_STARTED,,Structural EasyCrypt key generation is not yet target-Jasmin refinement
SIGN-M2,Mode 2 signing refinement,Algorithm signing TBD,HAETAE_Scheme.ec:38-57,sign.jazz:2725;sign.jazz:2806,NOT_STARTED,,Exact hyperball and rejection-loop distribution remain open
SIGN-M3,Mode 3 signing refinement,Algorithm signing TBD,HAETAE_Scheme.ec:38-57,sign.jazz:2752;sign.jazz:2846,NOT_STARTED,,Exact hyperball and rejection-loop distribution remain open
SIGN-M5,Mode 5 signing refinement,Algorithm signing TBD,HAETAE_Scheme.ec:38-57,sign.jazz:2779;sign.jazz:2884,NOT_STARTED,,Exact hyperball and rejection-loop distribution remain open
VERIFY-M2,Mode 2 verification refinement,Algorithm verification TBD,HAETAE_Scheme.ec:60-63,verify.jazz:445;verify.jazz:484,NOT_STARTED,,Target extraction and byte-level transcript correspondence are missing
VERIFY-M3,Mode 3 verification refinement,Algorithm verification TBD,HAETAE_Scheme.ec:60-63,verify.jazz:458;verify.jazz:502,NOT_STARTED,,Target extraction and byte-level transcript correspondence are missing
VERIFY-M5,Mode 5 verification refinement,Algorithm verification TBD,HAETAE_Scheme.ec:60-63,verify.jazz:471;verify.jazz:520,NOT_STARTED,,Target extraction and byte-level transcript correspondence are missing
NTT-EXTRACTION,Target Jasmin forward and inverse NTT extraction,N/A,easycrypt/extract/ntt/HpolyTarget.ec:346-359,hpoly.jazz:447-467,VERIFIED,scripts/verify-ntt-extract.sh,Exact target extraction has zero drift and compiles without caches
NTT-TARGET,Target Jasmin forward and inverse NTT correctness,Checked full NTT and inverse NTT,easycrypt/refinement/TargetNTTRefinement.ec,hpoly.jazz:447-467,VERIFIED,scripts/verify-ntt-proof.sh,Current scalar and direct-loop target procedures are related to the checked loop adapter and satisfy full_ntt/full_invntt representation postconditions including inverse input bound 18; the fixed mode-2 wide-array parent lifting is verified by the M23 arithmetic gate while other modes and consumers remain open
FIPS202-SHAKE-EXTRACTION,Target Jasmin one-shot SHAKE128 and SHAKE256 extraction,N/A,easycrypt/extract/fips202/Fips202ShakeTarget.ec:395-406,fips202.jazz:249-267,VERIFIED,scripts/verify-fips202-shake-extract.sh,Exact target wrapper extraction has zero drift and compiles without caches
FIPS202-SHAKE-TARGET,Target Jasmin one-shot SHAKE128 and SHAKE256 correctness,FIPS 202 SHAKE128 and SHAKE256,easycrypt/refinement/TargetFIPS202.ec,fips202.jazz:249-267,REFINEMENT_PENDING,docs/05-target-fips202-shake-extraction.md,Padding lane encoding absorb and squeeze behavior plus memory equivalence are not yet proved
KEYGEN-M2-SEED-XOF,Mode 2 key-generation seed expansion SHAKE extraction,N/A,easycrypt/extract/keygen-seed-xof/KeygenSeedXofTarget.ec:656-704,keypair.jazz:974-1021;keypair.jazz:1123-1215;keypair.jazz:1305-1319;keypair.jazz:1359-1378,VERIFIED,scripts/verify-keygen-seed-xof-extract.sh,Exact reachable leaf has zero drift and compiles without caches
KEYGEN-M2-SEED-XOF-TARGET,Mode 2 key-generation seed expansion SHAKE256 correctness,FIPS 202 SHAKE256,easycrypt/spec/KeygenSeedXofSpec.ec;easycrypt/refinement/TargetKeygenSeedXof.ec,keypair.jazz:974-1021,VERIFIED,scripts/verify-keygen-sampler-callers-proof.sh,kp_expand_seedbuf_correct proves on return equality with the first 128 SHAKE256 bytes of the 32-byte seed and three named Hoare corollaries identify output slices 0-31 32-95 and 96-127; the proof-only parent prefix connects that result to all 13 first-prefix sampler calls while actual _keypair_full_m23 dataflow and paper seed names remain open
