artifact	claim_id	role	evidence_status	paper_use
haetae-ntt-verify/easycrypt/NTTFullSpectralAction.ec	C1-FAITHFUL-REFINEMENT	theory	PROVED-SLICE	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-ntt-verify/easycrypt/NTTMode2RowSpecializations.ec	C1-FAITHFUL-REFINEMENT	theory	PROVED-SLICE	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-ntt-verify/easycrypt/NTTRowProductSpec.ec	C1-FAITHFUL-REFINEMENT	theory	PROVED-SLICE	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-ntt-verify/easycrypt/RqHAETAEBridge.ec	C1-FAITHFUL-REFINEMENT	theory	PROVED-SLICE	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/check-fixed-class4-p8-certificate.py	C3-QUANTITATIVE-KEYGEN	checker	CHECKED-EXECUTABLE	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/check-kg-actual-avec-qj-trace.py	C2-CHALLENGE-MODEL	checker	PROVED-NEGATIVE	HEADLINE-BOUNDARY-FINDING
haetae-topdown-easycrypt/post-freeze/check-mode2-accepted-all-slot-coordinate-p8-certificate.py	C3-QUANTITATIVE-KEYGEN	checker	CHECKED-EXECUTABLE	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/check-mode2-accepted-class-trace.py	C3-QUANTITATIVE-KEYGEN	checker	CHECKED-EXECUTABLE	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/check-mode2-accepted-p8-certificate.py	C3-QUANTITATIVE-KEYGEN	checker	CHECKED-EXECUTABLE	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/check-mode2-accepted-p8-trace-headroom-certificate.py	C3-QUANTITATIVE-KEYGEN	checker	CHECKED-EXECUTABLE	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/check-mode2-accepted-p8-union-certificate.py	C3-QUANTITATIVE-KEYGEN	checker	CHECKED-EXECUTABLE	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/check-mode2-accepted-upper-prefix-component-p8-certificate.py	C3-QUANTITATIVE-KEYGEN	checker	CHECKED-EXECUTABLE	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/extract-mode2-accepted-class-trace.c	C3-QUANTITATIVE-KEYGEN	trace-source	CHECKED-BY-CLASS-TRACE-CHECKER	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/KgActualAvecQjBlocker.ec	C2-CHALLENGE-MODEL	negative-theory	PROVED-NEGATIVE	HEADLINE-BOUNDARY-FINDING
haetae-topdown-easycrypt/post-freeze/KgActualAvecQjComposition.ec	C1-FAITHFUL-REFINEMENT	theory	PROVED-SLICE	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/KgActualAvecQjSemantics.ec	C1-FAITHFUL-REFINEMENT	theory	PROVED-SLICE	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/KgFaithfulAugmentedModel.ec	C1-FAITHFUL-REFINEMENT	theory	PROVED-SLICE	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/mode2-zero-seed-accepted-all-slot-coordinate-p8-certificate.json	C3-QUANTITATIVE-KEYGEN	certificate	CHECKED-EXECUTABLE	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/mode2-zero-seed-accepted-class-trace.json	C3-QUANTITATIVE-KEYGEN	certificate	CHECKED-EXECUTABLE	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/mode2-zero-seed-accepted-p8-certificate.json	C3-QUANTITATIVE-KEYGEN	certificate	CHECKED-EXECUTABLE	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/mode2-zero-seed-accepted-p8-trace-headroom-certificate.json	C3-QUANTITATIVE-KEYGEN	certificate	CHECKED-EXECUTABLE	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/mode2-zero-seed-accepted-p8-union-certificate.json	C3-QUANTITATIVE-KEYGEN	certificate	CHECKED-EXECUTABLE	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/mode2-zero-seed-accepted-upper-prefix-component-p8-certificate.json	C3-QUANTITATIVE-KEYGEN	certificate	CHECKED-EXECUTABLE	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2ActualPackedPrefixFramePostFreeze.ec	S2-SIGN-ROM	theory	PROVED-SUPPORT	SUPPORT-ONLY
haetae-topdown-easycrypt/post-freeze/Mode2ChallengeCarrierValidityPostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/Mode2ChallengeGatedROMPostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/Mode2ChallengeROMAdapterPostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
