theorem,file,theorem_line,premise_ordinal,premise_line,premise_meaning,classification,current_status,linked_id,discharge_lemma,closure_criterion
euf_cma_security_no_signing,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,81,1,82,NMA success is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING,-,Construct the paper-faithful NMA reduction and prove this game inequality
euf_cma_security_no_signing,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,81,2,85,Bimodal self-target MSIS success is bounded by Module-SIS success plus reduction loss,structural correspondence obligation,OPEN,CRYPTO-MSIS;GAP-MSIS,-,Prove the exact distributional lift and norm-preserving relation to the HAETAE Module-SIS game
euf_cma_security_no_signing,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,81,3,88,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_no_signing,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,81,4,89,Module-SIS game success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS,-,Instantiate the exact HAETAE Module-SIS game and parameters while retaining its advantage term
euf_cma_security,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,136,1,137,EUF-CMA success is bounded by NMA success plus Fiat-Shamir-with-aborts losses,structural correspondence obligation,OPEN,MODEL-ROM;GAP-CHALLENGE;GAP-TOP-LEVEL,-,Prove the paper-faithful signing simulation and ROM reprogramming hop with concrete query and entropy bounds
euf_cma_security,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,136,2,141,NMA success is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING,-,Construct the paper-faithful NMA reduction and prove this game inequality
euf_cma_security,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,136,3,144,Bimodal self-target MSIS success is bounded by Module-SIS success plus reduction loss,structural correspondence obligation,OPEN,CRYPTO-MSIS;GAP-MSIS,-,Prove the exact distributional lift and norm-preserving relation to the HAETAE Module-SIS game
euf_cma_security,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,136,4,147,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,136,5,148,Module-SIS game success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS,-,Instantiate the exact HAETAE Module-SIS game and parameters while retaining its advantage term
euf_cma_security_with_hop_interfaces,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,188,1,189,The structural Fiat-Shamir-with-aborts interfaces are ready for the selected mode,checked derived premise,CHECKED_STRUCTURAL,GAP-FORKING,fs_with_aborts_interfaces_ready_holds,Replace the structural extractor interfaces with the exact paper relation before treating this as paper-faithful
